Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
pr,13234017,0,"Thursday, August 22, 2013 11:39:23 UTC",18.9932,-66.4440,2.7,59.00, 6,"Puerto Rico region"
us,b000j979,5,"Thursday, August 22, 2013 08:39:16 UTC",16.1785,-46.7145,4.9,10.00,98,"northern Mid-Atlantic Ridge"
us,b000j970,4,"Thursday, August 22, 2013 08:02:53 UTC",39.7834,141.2970,4.4,50.00,18,"eastern Honshu, Japan"
us,b000j96s,5,"Thursday, August 22, 2013 07:52:27 UTC",-6.8746,150.5260,4.6,10.00,29,"New Britain region, Papua New Guinea"
us,b000j968,8,"Thursday, August 22, 2013 06:53:05 UTC",42.2763,142.9224,4.7,59.30,193,"Hokkaido, Japan region"
us,b000j960,7,"Thursday, August 22, 2013 06:44:53 UTC",43.5894,13.7395,4.5,10.10,102,"central Italy"
pr,13234010,0,"Thursday, August 22, 2013 06:14:25 UTC",18.0235,-67.4558,2.7,9.00, 8,"Mona Passage, Puerto Rico"
hv,60527702,2,"Thursday, August 22, 2013 05:41:46 UTC",19.1975,-155.5038,2.9,6.90, 9,"Island of Hawaii, Hawaii"
us,b000j958,7,"Thursday, August 22, 2013 05:29:04 UTC",15.0303,-93.1958,4.2,65.70,47,"offshore Chiapas, Mexico"
pr,13234009,0,"Thursday, August 22, 2013 05:21:55 UTC",18.0440,-67.4063,2.8,4.00,10,"Mona Passage, Puerto Rico"
nc,72054121,1,"Thursday, August 22, 2013 05:20:21 UTC",36.6703,-121.2955,2.5,5.80,57,"Central California"
pr,13234007,0,"Thursday, August 22, 2013 05:05:33 UTC",17.9701,-67.4674,2.9,12.00, 7,"Puerto Rico region"
pr,13234005,0,"Thursday, August 22, 2013 05:03:29 UTC",18.0799,-67.4371,2.9,8.00,25,"Mona Passage, Puerto Rico"
pr,13234004,2,"Thursday, August 22, 2013 04:35:59 UTC",18.0396,-67.4275,3.5,8.00,20,"Mona Passage, Puerto Rico"
nc,72054076,3,"Thursday, August 22, 2013 03:23:40 UTC",40.4935,-124.2832,3.3,19.10,17,"Northern California"
pr,13234016,0,"Thursday, August 22, 2013 03:07:40 UTC",18.9734,-66.6445,2.7,47.00, 4,"Puerto Rico region"
pr,13234003,0,"Thursday, August 22, 2013 03:05:57 UTC",18.0405,-67.4509,2.7,7.00,12,"Mona Passage, Puerto Rico"
pr,13234015,0,"Thursday, August 22, 2013 03:02:35 UTC",17.9559,-67.4610,2.5,17.00, 4,"Puerto Rico region"
pr,13234002,0,"Thursday, August 22, 2013 02:45:06 UTC",18.0522,-67.4335,2.6,5.00,21,"Mona Passage, Puerto Rico"
pr,13234008,0,"Thursday, August 22, 2013 02:06:49 UTC",18.0480,-67.4229,2.7,5.00,10,"Mona Passage, Puerto Rico"
pr,13234001,0,"Thursday, August 22, 2013 02:02:35 UTC",18.0359,-67.4404,2.8,6.00, 9,"Mona Passage, Puerto Rico"
pr,13234006,0,"Thursday, August 22, 2013 01:55:06 UTC",18.0587,-67.4255,2.8,4.00,16,"Mona Passage, Puerto Rico"
pr,13234000,3,"Thursday, August 22, 2013 01:49:58 UTC",18.0400,-67.4265,3.7,8.00,28,"Mona Passage, Puerto Rico"
ak,10787190,2,"Thursday, August 22, 2013 01:18:13 UTC",51.5510,-178.3530,4.1,0.90,27,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10787159,1,"Thursday, August 22, 2013 00:34:48 UTC",62.2506,-150.8738,2.5,63.80,37,"Central Alaska"
ak,10786891,1,"Wednesday, August 21, 2013 22:16:13 UTC",61.5746,-141.1882,2.9,0.00,33,"Southern Alaska"
us,b000j8up,6,"Wednesday, August 21, 2013 21:02:32 UTC",18.7888,-108.1377,4.2,9.80,49,"Revilla Gigedo Islands region"
pr,13233004,0,"Wednesday, August 21, 2013 19:11:22 UTC",18.0634,-67.4458,2.9,3.00,16,"Mona Passage, Puerto Rico"
pr,13233003,0,"Wednesday, August 21, 2013 18:38:20 UTC",18.0890,-67.4462,3.0,9.00,24,"Mona Passage, Puerto Rico"
us,b000j8ie,A,"Wednesday, August 21, 2013 18:09:11 UTC",16.2846,-99.2444,4.2,22.30,68,"offshore Guerrero, Mexico"
us,b000j8g8,5,"Wednesday, August 21, 2013 17:20:04 UTC",36.9606,141.1731,4.5,20.00,29,"near the east coast of Honshu, Japan"
us,b000j896,4,"Wednesday, August 21, 2013 15:28:03 UTC",37.6306,141.5951,4.5,45.90,41,"near the east coast of Honshu, Japan"
us,b000j84d,9,"Wednesday, August 21, 2013 13:02:19 UTC",16.9110,-99.4510,5.2,37.60,483,"Guerrero, Mexico"
us,b000j83t,G,"Wednesday, August 21, 2013 12:38:30 UTC",16.9168,-99.3814,6.2,20.00,104,"Guerrero, Mexico"
us,b000j83m,5,"Wednesday, August 21, 2013 12:27:03 UTC",25.3211,127.3078,4.5,10.00,28,"Ryukyu Islands, Japan"
pr,13233001,0,"Wednesday, August 21, 2013 08:48:09 UTC",17.9710,-67.4281,2.7,8.00,15,"Puerto Rico region"
ci,15395009,2,"Wednesday, August 21, 2013 08:39:04 UTC",34.3090,-118.4077,2.6,7.20,74,"Greater Los Angeles area, California"
us,b000j818,6,"Wednesday, August 21, 2013 08:25:06 UTC",47.8619,152.7918,5.1,157.00,111,"Kuril Islands"
us,b000j80x,5,"Wednesday, August 21, 2013 06:57:21 UTC",26.6385,92.5094,4.4,51.80,27,"Assam, India"
ci,15394961,2,"Wednesday, August 21, 2013 05:27:15 UTC",34.0337,-117.2472,2.7,16.30,94,"Greater Los Angeles area, California"
us,b000j7zm,6,"Wednesday, August 21, 2013 04:43:18 UTC",-22.2802,171.6769,5.6,92.40,59,"southeast of the Loyalty Islands"
us,b000j7qf,3,"Tuesday, August 20, 2013 21:18:00 UTC",-6.3477,154.4188,5.3,68.10,39,"Bougainville region, Papua New Guinea"
ak,10786313,1,"Tuesday, August 20, 2013 21:07:12 UTC",63.3222,-151.0834,2.6,1.70,23,"Central Alaska"
ak,10786277,2,"Tuesday, August 20, 2013 20:16:22 UTC",63.3643,-149.5983,3.6,94.10,96,"Central Alaska"
us,b000j7gb,6,"Tuesday, August 20, 2013 19:16:11 UTC",-21.2981,33.0291,4.7,11.40,49,"Mozambique"
uw,60575952,3,"Tuesday, August 20, 2013 18:41:30 UTC",47.3615,-122.7338,3.6,11.70,53,"Puget Sound region, Washington"
us,b000j7ci,7,"Tuesday, August 20, 2013 17:41:20 UTC",36.9234,142.6564,4.9,18.30,111,"off the east coast of Honshu, Japan"
pr,13232002,0,"Tuesday, August 20, 2013 15:50:08 UTC",18.7807,-64.3304,3.0,41.00, 7,"Virgin Islands region"
pr,13232001,0,"Tuesday, August 20, 2013 13:05:02 UTC",19.2042,-64.7522,3.2,44.00, 6,"Virgin Islands region"
ci,15394641,5,"Tuesday, August 20, 2013 12:44:41 UTC",33.0403,-115.5618,2.5,8.80,31,"Southern California"
ci,15394457,5,"Tuesday, August 20, 2013 08:27:23 UTC",34.7208,-118.5585,2.6,11.20,61,"Southern California"
ci,15394377,6,"Tuesday, August 20, 2013 07:11:54 UTC",35.4817,-118.2873,3.1,2.50,52,"Central California"
us,b000j70i,6,"Tuesday, August 20, 2013 06:30:34 UTC",52.6582,-174.4655,4.4,205.20,73,"Andreanof Islands, Aleutian Islands, Alaska"
pr,13232000,0,"Tuesday, August 20, 2013 05:04:36 UTC",18.8043,-67.8677,3.4,87.00,11,"Dominican Republic region"
ci,15394281,6,"Tuesday, August 20, 2013 02:49:52 UTC",33.1140,-115.5855,2.9,8.00,55,"Southern California"
us,b000j6yy,5,"Tuesday, August 20, 2013 01:16:23 UTC",-8.4344,-79.2661,4.7,44.00,34,"near the coast of northern Peru"
ak,10785969,1,"Tuesday, August 20, 2013 01:09:01 UTC",60.0440,-152.7465,2.8,98.90,45,"Southern Alaska"
us,b000j6ys,4,"Tuesday, August 20, 2013 00:53:55 UTC",-21.3097,-11.8099,4.9,10.00,21,"southern Mid-Atlantic Ridge"
ak,10785942,1,"Tuesday, August 20, 2013 00:07:39 UTC",59.5170,-153.5512,2.9,117.00,22,"Southern Alaska"
us,b000j6xl,5,"Monday, August 19, 2013 22:58:12 UTC",-41.7300,174.2200,4.2,9.00, 0,"Cook Strait, New Zealand"
ci,15394145,2,"Monday, August 19, 2013 22:50:46 UTC",31.7155,-115.8992,2.6,5.20, 5,"Baja California, Mexico"
ak,10785797,2,"Monday, August 19, 2013 22:39:54 UTC",52.3647,-169.0526,3.8,4.30,27,"Fox Islands, Aleutian Islands, Alaska"
uw,60575732,1,"Monday, August 19, 2013 22:32:31 UTC",49.1473,-119.2107,2.5,0.40,17,"British Columbia, Canada"
us,b000j6qv,A,"Monday, August 19, 2013 20:35:57 UTC",-6.5648,130.3386,4.2,158.50,16,"Banda Sea"
us,b000j6m6,7,"Monday, August 19, 2013 19:39:45 UTC",-21.4880,-68.4850,5.5,111.70,107,"Antofagasta, Chile"
ak,10785542,2,"Monday, August 19, 2013 17:25:17 UTC",67.6639,-137.2445,3.5,21.60,19,"northern Yukon Territory, Canada"
ak,10785500,1,"Monday, August 19, 2013 16:13:42 UTC",66.6982,-146.2002,2.7,19.60,19,"northern Alaska"
us,b000j6b8,5,"Monday, August 19, 2013 13:38:43 UTC",55.1682,111.5267,4.6,17.90,79,"Lake Baykal region, Russia"
us,b000j6a8,6,"Monday, August 19, 2013 12:05:25 UTC",6.2691,124.0555,4.5,534.20,55,"Mindanao, Philippines"
nc,72052151,8,"Monday, August 19, 2013 11:09:55 UTC",40.1600,-121.0280,3.6,1.40,24,"Northern California"
nc,71074254,2,"Monday, August 19, 2013 11:09:03 UTC",40.1585,-121.0458,3.0,4.00, 7,"Northern California"
nc,71074249,2,"Monday, August 19, 2013 11:08:47 UTC",40.1702,-121.0345,3.1,0.70, 7,"Northern California"
nc,72052146,6,"Monday, August 19, 2013 11:08:19 UTC",40.1453,-121.0302,3.4,0.40,33,"Northern California"
us,b000j68y,5,"Monday, August 19, 2013 10:02:36 UTC",15.7804,-93.7503,4.6,84.90,81,"offshore Chiapas, Mexico"
nc,72052081,3,"Monday, August 19, 2013 08:37:21 UTC",40.3363,-124.1153,2.8,27.90,30,"Northern California"
nc,72052076,3,"Monday, August 19, 2013 08:17:48 UTC",40.3315,-124.1072,2.5,28.00,32,"Northern California"
nc,72052071,5,"Monday, August 19, 2013 08:12:50 UTC",40.3592,-124.0898,2.8,28.90,30,"Northern California"
us,b000j68c,8,"Monday, August 19, 2013 08:06:06 UTC",8.4310,-102.9334,4.4,10.00,58,"northern East Pacific Rise"
nc,72052066,3,"Monday, August 19, 2013 08:05:34 UTC",40.3320,-124.1170,2.7,28.70,27,"Northern California"
nc,72052061,5,"Monday, August 19, 2013 08:05:05 UTC",40.3577,-124.0922,3.2,29.10,34,"Northern California"
us,b000j687,8,"Monday, August 19, 2013 07:17:57 UTC",8.5815,-102.8122,4.5,10.00,75,"northern East Pacific Rise"
us,b000j67t,9,"Monday, August 19, 2013 06:13:17 UTC",-37.7649,-75.0637,4.4,10.00,70,"off the coast of Bio-Bio, Chile"
hv,60525582,3,"Monday, August 19, 2013 05:22:11 UTC",18.9817,-154.3947,3.2,40.80,53,"Hawaii region, Hawaii"
ak,10785347,2,"Monday, August 19, 2013 03:13:46 UTC",60.1437,-152.5564,3.6,107.40,61,"Southern Alaska"
